File,Principle,Subcategory,Score,Rationale
10.1038_s41598-017-15590-4.pdf,bold_rigorous_research_approaches_rubric,R1,2,"The research publication demonstrates a high level of ambition and rigor in its research approaches, aligning well with the 'bold_rigorous_research_approaches_rubric' under subcategory 'R1'. The methods and results sections reveal the use of advanced statistical models and methodologies, such as cross-validation, elastic net estimators, and simulation studies, to handle high-dimensional data and dataset discrepancies effectively. The research aims to identify therapeutic genomic signatures across different datasets, which is a paradigm-shifting approach in genomic data analysis, indicating a high-risk and ambitious endeavor. The use of a new model fitting strategy and the development of a generalized finite mixture of regressions model further underscore the pursuit of major advances in the field. The consistent application of rigorous statistical techniques and the aim to achieve reproducible and novel drug-gene interactions highlight the publication's alignment with the rubric's keywords: ambitious research, paradigm-shift, high-risk, and major advances."
10.1038_s41598-017-15590-4.pdf,bold_rigorous_research_approaches_rubric,R2,2,"The research publication demonstrates a strong adherence to the 'R2' subcategory of the 'bold_rigorous_research_approaches_rubric' by employing rigorous methods, ensuring reproducibility, and using robust approaches in its methodology. The use of cross-validation, repeated iterations, and robust statistical models like the elastic net and lasso for parameter estimation highlights the rigorous methods employed. The reproducibility is addressed through simulation studies and extensive validation using independent datasets, which also aligns with the FAIR data principles by ensuring that the data handling and analysis methods are well-documented and transparent. The robust approach is further evidenced by the careful handling of dataset discrepancies and the use of advanced statistical techniques to ensure the stability and reliability of the findings. These elements collectively fulfill the criteria set by the rubric for a score of 2."
10.1038_s41598-017-15590-4.pdf,bold_rigorous_research_approaches_rubric,R3,2,"The research publication demonstrates a strong adherence to the 'bold_rigorous_research_approaches_rubric' under subcategory 'R3', focusing on high-reward research, reproducibility, sharing data, and rigorous testing. The methods section details the use of robust statistical techniques such as cross-validation, elastic net, and lasso estimation to ensure rigorous testing and reproducibility. The inclusion of multiple datasets (CCLE, GDSC, and FIMM) and the sharing of data protocols enhance the reproducibility and generalizability of the findings. The research also emphasizes high-reward research through the development of new model formulations and simulation designs to address dataset discrepancies and improve prediction accuracy. The results section further supports the rigorous approach by discussing the reproducibility of drug-gene interactions and the stability of genomic markers across datasets, validated through extensive simulations and statistical analysis. Overall, the publication exemplifies a comprehensive and rigorous approach to research, meeting the criteria for a score of 2."
10.1038_s41598-017-15590-4.pdf,boundary_crossing_partnerships_rubric,B1,1,"The research publication does mention the use of datasets from different sectors (industry and academia) such as the Institute for Molecular Medicine Finland (FIMM), GDSC, and CCLE, indicating a form of cross-sector partnership. However, the text primarily focuses on the methodological aspects and data analysis strategies involving these datasets rather than detailing the nature of the partnerships or the collaborative processes between these sectors. The mention of these collaborations is incidental to the description of the methods rather than a focal point of discussion or analysis. Therefore, while there is some evidence of industry-academia collaboration, it is not sufficiently emphasized or detailed to merit a higher score under the 'boundary_crossing_partnerships_rubric' for subcategory 'B1'."
10.1038_s41598-017-15590-4.pdf,boundary_crossing_partnerships_rubric,B2,0,"The provided sections from the research publication primarily focus on the methodologies and results related to genomic data analysis, model formulations, and prediction accuracy assessments. The text discusses the use of datasets, model validation, and statistical analysis techniques to identify genomic signatures and drug-gene interactions. However, there is no mention of community engagement, patient involvement, or collaborative research involving diverse stakeholders, which are the key elements under the 'B2' subcategory of the 'boundary_crossing_partnerships_rubric'. The absence of these specific keywords and related activities in the text leads to a score of 0, indicating that this subcategory is not implemented in the discussed sections of the publication."
10.1038_s41598-017-15590-4.pdf,boundary_crossing_partnerships_rubric,B3,0,"The provided sections from the research publication primarily focus on the methodologies and results related to genomic data analysis, model formulation, and prediction accuracy between different datasets (GDSC and CCLE). The text discusses the use of cross-validation, data sharing strategies, and statistical models to analyze genomic signatures and drug responses. However, there is no mention of partnership incentives, reward systems, or policy support, which are the keywords and focus for subcategory 'B3' of the 'boundary_crossing_partnerships_rubric'. The absence of any discussion or evidence related to these specific aspects leads to a score of 0, as the publication does not demonstrate the implementation of this subcategory."
10.1038_s41598-017-15590-4.pdf,cross_disciplinary_team_science_rubric,T1,0,"The provided sections from the research publication primarily focus on the methods and results related to genomic data analysis, model formulations, and the evaluation of drug-gene interactions using datasets like GDSC and CCLE. The text discusses various statistical models, data handling techniques, and validation strategies for genomic signatures. However, there is no mention of interdisciplinary, multi-professional, or cross-field collaboration or contributions in the methodology or any other part of the text provided. The keywords indicative of a cross-disciplinary approach such as ""interdisciplinary,"" ""multi-professional,"" or ""cross-field"" are absent, and there is no explicit evidence of contributions from multiple disciplines working together to achieve the study's objectives. Therefore, based on the information given and the focus of the text, it does not demonstrate the principle of 'cross_disciplinary_team_science_rubric' under subcategory 'T1'."
10.1038_s41598-017-15590-4.pdf,cross_disciplinary_team_science_rubric,T2,1,"The research publication demonstrates some aspects of 'knowledge integration' and a 'holistic approach' as indicated by the use of cross-dataset analysis and modeling strategies that incorporate various genomic features and datasets (GDSC and CCLE). The methods section describes integrating different types of genomic data (mutation status, gene expression profiles, copy number variations) and using models that account for dataset discrepancies, which aligns with the concept of a holistic approach. However, the integration seems to focus more on technical and methodological harmonization rather than a broader interdisciplinary or cross-sectoral knowledge integration. The publication primarily stays within the domain of genomic data analysis and does not clearly indicate the involvement of diverse disciplinary perspectives that would fully embody a holistic approach as suggested by the rubric. Therefore, a score of 1 is appropriate as it partially meets the criteria but does not fully demonstrate a comprehensive integration of knowledge from multiple disciplines or sectors."
10.1038_s41598-017-15590-4.pdf,cross_disciplinary_team_science_rubric,T3,0,"The provided sections from the research publication do not explicitly mention or demonstrate the presence of team leadership, shared resources, or team policies, which are the keywords associated with the subcategory 'T3' of the 'cross_disciplinary_team_science_rubric'. The text primarily focuses on the methodologies, data analysis strategies, and results of genomic data analysis and model testing, without reference to the collaborative or organizational aspects of the research team. Therefore, based on the absence of explicit evidence related to team leadership, shared resources, or team policies, a score of 0 is appropriate for this subcategory."
10.1038_s41598-017-15590-4.pdf,generalizable_solutions_rubric,G1,2,"The research publication demonstrates a strong alignment with the 'generalizable_solutions_rubric' subcategory 'G1', which focuses on addressing bottlenecks, roadblocks, and operational challenges across multiple projects. The methods section details the use of cross-validation and robust statistical models to handle dataset discrepancies and ensure the reproducibility of genomic signatures across different datasets (GDSC and CCLE). This approach addresses significant operational challenges in genomic data analysis, such as dataset discordancy and the need for model stability in the face of small sample sizes. The use of penalized optimization functions and model formulations that partition dataset discrepancies further exemplifies a methodological framework designed to overcome these roadblocks in a generalizable manner, applicable to multiple datasets and drug response studies. The detailed simulation studies and the application of these methods to real genomic datasets underscore the practical relevance and the effort to generalize solutions across different operational contexts."
